Facility Id,Facility Name,Industry
1004377,121 REGIONAL DISPOSAL FACILITY,Waste
1010040,15-18565/15-18662,Other
1010085,15-19015,Other
1001155,1500 South Tibbs LLC d/b/a Aurorium Indianapolis LLC,Chemicals
1012147,17Z Gas Plant - Chevron USA Inc.,"Natural Gas and Natural Gas Liquids Suppliers,Petroleum and Natural Gas Systems"
1000112,23rd and 3rd,Power Plants
1006394,29-6 #2 Central Delivery Point,Petroleum and Natural Gas Systems
1013701,30-30 Gas Plant,"Injection of CO2,Petroleum and Natural Gas Systems,Suppliers of CO2"
1002885,30-5 Central Delivery Point Compressor Station,Petroleum and Natural Gas Systems
1002707,31-6 Central Delivery Point,Petroleum and Natural Gas Systems
1003742,31st Street Landfill,Waste
1002718,32-7 Central Delivery Point,Petroleum and Natural Gas Systems
1002721,32-8 #2 CDP COMPRESSOR STATION,Petroleum and Natural Gas Systems
1003188,3M BROWNWOOD,Minerals
1005043,3M CO,Other
1003739,3M CO - GUIN,Minerals
1007698,3M CO - WAUSAU DOWNTOWN,Other
1006665,3M Chemical Operations' Cordova Facility,"Chemicals,Industrial Gas Suppliers"
1004836,3M Chemical Operations' Cottage Grove Facility,"Chemicals,Industrial Gas Suppliers,Minerals"
1004206,3M Chemical Operations' Decatur Facility,"Chemicals,Industrial Gas Suppliers"
1003408,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,Minerals
1004914,3M MAGNETIC TAPE MANUFACTURING DIVISION,Other
1004804,3M NEVADA PLANT,Other
1013282,3M Pittsboro,Minerals
1007408,4 West Mine,Other
1001106,48th Street Peaking Station,Power Plants
1012037,50 Buttes Gas Plant,Petroleum and Natural Gas Systems
1004680,58TH ST LF (MAIN COUNTY LF),Waste
1000766,59th Street,Power Plants
1007733,69TH ST WWTP,Other
1000767,74th Street,Power Plants
1001033,A B Brown Generating Station,Power Plants
1012058,"A.C.M.S., Inc.",Waste
1013527,A.J. Mihm Generating Station,Power Plants
1002853,ABBOTT NUTRITION,Other
1002983,ABBOTT PARK FACILITY,Other
1007514,ABBVIE LTD.,Chemicals
1004511,ABC COKE,Metals
1005278,ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,Other
1005353,ABERDEEN ENERGY LLC,Other
1006971,ABERDEEN PROVING GROUND-Aberdeen Area & Edgewood Area,Other
1003091,ABRAHAM COMPRESSOR STATION,Petroleum and Natural Gas Systems
1002627,ABSOLUTE ENERGY LLC,Other
